time/total_timesteps,time/fps,rollout/exploration_rate,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,train/loss,train/learning_rate
67200,6225,,320,10,200.0,-251331.7089186,0.0,,,
67200,6224,,324,10,200.0,-251331.7089186,0.0,,,
67200,6222,,328,10,200.0,-251331.7089186,0.0,,,
67200,6221,,332,10,200.0,-251331.7089186,0.0,,,
67200,6220,,336,10,200.0,-251331.7089186,0.0,,,
72000,6206,0.9918571428571429,340,11,200.0,-249438.21481518,0.0,645,836.6534545898437,0.0001
72000,6204,,344,11,200.0,-249438.21481518,0.0,,,
72000,6203,,348,11,200.0,-249438.21481518,0.0,,,
72000,6201,,352,11,200.0,-249438.21481518,0.0,,,
72000,6199,,356,11,200.0,-249438.21481518,0.0,,,
72000,6198,,360,11,200.0,-249438.21481518,0.0,,,
76800,6184,0.9913142857142858,364,12,200.0,-250180.32719042993,0.0,695,490.26450805664064,0.0001
76800,6182,,368,12,200.0,-250180.32719042993,0.0,,,
76800,6181,,372,12,200.0,-250180.32719042993,0.0,,,
76800,6180,,376,12,200.0,-250180.32719042993,0.0,,,
76800,6179,,380,12,200.0,-250180.32719042993,0.0,,,
76800,6177,,384,12,200.0,-250180.32719042993,0.0,,,
81600,6173,0.9907714285714285,388,13,200.0,-249139.16929648005,0.0,745,1035.82314453125,0.0001
81600,6171,,392,13,200.0,-249139.16929648005,0.0,,,
81600,6168,,396,13,200.0,-249139.16929648005,0.0,,,
81600,6166,,400,13,200.0,-249139.16929648005,0.0,,,
81600,6165,,404,13,200.0,-249139.16929648005,0.0,,,
81600,6164,,408,13,200.0,-249139.16929648005,0.0,,,
86400,6155,0.9902285714285715,412,14,200.0,-248009.55298560002,0.0,795,543.21962890625,0.0001
86400,6153,,416,14,200.0,-248009.55298560002,0.0,,,
86400,6152,,420,14,200.0,-248009.55298560002,0.0,,,
86400,6151,,424,14,200.0,-248009.55298560002,0.0,,,
86400,6150,,428,14,200.0,-248009.55298560002,0.0,,,
86400,6149,,432,14,200.0,-248009.55298560002,0.0,,,
91200,6145,0.9896857142857142,436,14,200.0,-249181.76286825002,0.0,845,1098.440380859375,0.0001
91200,6143,,440,14,200.0,-249181.76286825002,0.0,,,
91200,6142,,444,14,200.0,-249181.76286825002,0.0,,,
91200,6141,,448,14,200.0,-249181.76286825002,0.0,,,
91200,6140,,452,14,200.0,-249181.76286825002,0.0,,,
91200,6139,,456,14,200.0,-249181.76286825002,0.0,,,
96000,6135,0.9891428571428571,460,15,200.0,-247310.76441663998,0.0,895,608.0746704101563,0.0001
96000,6133,,464,15,200.0,-247310.76441663998,0.0,,,
96000,6132,,468,15,200.0,-247310.76441663998,0.0,,,
96000,6131,,472,15,200.0,-247310.76441663998,0.0,,,
96000,6130,,476,15,200.0,-247310.76441663998,0.0,,,
96000,6129,,480,15,200.0,-247310.76441663998,0.0,,,
100800,6123,0.9886,484,16,200.0,-248038.63777087,0.0,945,968.33251953125,0.0001
100800,6122,,488,16,200.0,-248038.63777087,0.0,,,
100800,6120,,492,16,200.0,-248038.63777087,0.0,,,
100800,6119,,496,16,200.0,-248038.63777087,0.0,,,
100800,6119,,500,16,200.0,-248038.63777087,0.0,,,
100800,6118,,504,16,200.0,-248038.63777087,0.0,,,
105600,6121,0.9880571428571429,508,17,200.0,-247601.63546607,0.0,995,644.72255859375,0.0001
105600,6119,,512,17,200.0,-247601.63546607,0.0,,,
105600,6118,,516,17,200.0,-247601.63546607,0.0,,,
105600,6117,,520,17,200.0,-247601.63546607,0.0,,,
105600,6116,,524,17,200.0,-247601.63546607,0.0,,,
105600,6115,,528,17,200.0,-247601.63546607,0.0,,,
110400,6117,0.9875142857142858,532,18,200.0,-246430.45897087004,0.0,1045,1137.912744140625,0.0001
110400,6116,,536,18,200.0,-246430.45897087004,0.0,,,
110400,6115,,540,18,200.0,-246430.45897087004,0.0,,,
110400,6114,,544,18,200.0,-246430.45897087004,0.0,,,
110400,6113,,548,18,200.0,-246430.45897087004,0.0,,,
110400,6112,,552,18,200.0,-246430.45897087004,0.0,,,
115200,6115,0.9869714285714285,556,18,200.0,-247400.97935972002,0.0,1095,677.0290405273438,0.0001
115200,6114,,560,18,200.0,-247400.97935972002,0.0,,,
115200,6113,,564,18,200.0,-247400.97935972002,0.0,,,
115200,6112,,568,18,200.0,-247400.97935972002,0.0,,,
115200,6112,,572,18,200.0,-247400.97935972002,0.0,,,
115200,6111,,576,18,200.0,-247400.97935972002,0.0,,,
120000,6111,0.9864285714285714,580,19,200.0,-246481.19285974003,0.0,1145,665.14130859375,0.0001
120000,6110,,584,19,200.0,-246481.19285974003,0.0,,,
120000,6109,,588,19,200.0,-246481.19285974003,0.0,,,
120000,6109,,592,19,200.0,-246481.19285974003,0.0,,,
120000,6108,,596,19,200.0,-246481.19285974003,0.0,,,
120000,6107,,600,19,200.0,-246481.19285974003,0.0,,,
124800,6111,0.9858857142857144,604,20,200.0,-245409.76680639997,0.0,1195,696.4551025390625,0.0001
124800,6110,,608,20,200.0,-245409.76680639997,0.0,,,
124800,6109,,612,20,200.0,-245409.76680639997,0.0,,,
124800,6108,,616,20,200.0,-245409.76680639997,0.0,,,
124800,6108,,620,20,200.0,-245409.76680639997,0.0,,,
124800,6107,,624,20,200.0,-245409.76680639997,0.0,,,
129600,6102,0.9853428571428571,628,21,200.0,-245185.09513975002,0.0,1245,680.6931030273438,0.0001
129600,6102,,632,21,200.0,-245185.09513975002,0.0,,,
129600,6101,,636,21,200.0,-245185.09513975002,0.0,,,
129600,6100,,640,21,200.0,-245185.09513975002,0.0,,,
129600,6099,,644,21,200.0,-245185.09513975002,0.0,,,
129600,6098,,648,21,200.0,-245185.09513975002,0.0,,,
134400,6101,0.9848,652,22,200.0,-247006.93798637998,0.0,1295,714.7298583984375,0.0001
134400,6101,,656,22,200.0,-247006.93798637998,0.0,,,
134400,6100,,660,22,200.0,-247006.93798637998,0.0,,,
134400,6099,,664,22,200.0,-247006.93798637998,0.0,,,
134400,6099,,668,22,200.0,-247006.93798637998,0.0,,,
134400,6098,,672,22,200.0,-247006.93798637998,0.0,,,
139200,6099,0.9842571428571428,676,22,200.0,-248445.88494878996,0.0,1345,707.5528442382813,0.0001
139200,6098,,680,22,200.0,-248445.88494878996,0.0,,,
139200,6098,,684,22,200.0,-248445.88494878996,0.0,,,
139200,6096,,688,22,200.0,-248445.88494878996,0.0,,,
139200,6095,,692,22,200.0,-248445.88494878996,0.0,,,
139200,6094,,696,22,200.0,-248445.88494878996,0.0,,,
144000,6094,0.9837142857142857,700,23,200.0,-249877.93701786004,0.0,1395,731.7872314453125,0.0001
144000,6093,,704,23,200.0,-249877.93701786004,0.0,,,
144000,6093,,708,23,200.0,-249877.93701786004,0.0,,,
144000,6092,,712,23,200.0,-249877.93701786004,0.0,,,
144000,6091,,716,23,200.0,-249877.93701786004,0.0,,,
144000,6091,,720,23,200.0,-249877.93701786004,0.0,,,
148800,6097,0.9831714285714286,724,24,200.0,-248281.20331463005,0.0,1445,705.9649780273437,0.0001
148800,6096,,728,24,200.0,-248281.20331463005,0.0,,,
148800,6096,,732,24,200.0,-248281.20331463005,0.0,,,
148800,6095,,736,24,200.0,-248281.20331463005,0.0,,,
148800,6094,,740,24,200.0,-248281.20331463005,0.0,,,
148800,6093,,744,24,200.0,-248281.20331463005,0.0,,,
153600,6099,0.9826285714285714,748,25,200.0,-247548.20904953993,0.0,1495,718.157861328125,0.0001
153600,6099,,752,25,200.0,-247548.20904953993,0.0,,,
153600,6098,,756,25,200.0,-247548.20904953993,0.0,,,
153600,6097,,760,25,200.0,-247548.20904953993,0.0,,,
153600,6097,,764,25,200.0,-247548.20904953993,0.0,,,
153600,6096,,768,25,200.0,-247548.20904953993,0.0,,,
158400,6103,0.9820857142857143,772,25,200.0,-246313.76781145,0.0,1545,717.3476318359375,0.0001
158400,6102,,776,25,200.0,-246313.76781145,0.0,,,
158400,6100,,780,25,200.0,-246313.76781145,0.0,,,
158400,6099,,784,25,200.0,-246313.76781145,0.0,,,
158400,6099,,788,25,200.0,-246313.76781145,0.0,,,
158400,6098,,792,25,200.0,-246313.76781145,0.0,,,
163200,6101,0.9815428571428573,796,26,200.0,-246214.36302213997,0.0,1595,744.0459350585937,0.0001
163200,6101,,800,26,200.0,-246214.36302213997,0.0,,,
163200,6100,,804,26,200.0,-246214.36302213997,0.0,,,
163200,6100,,808,26,200.0,-246214.36302213997,0.0,,,
163200,6099,,812,26,200.0,-246214.36302213997,0.0,,,
163200,6099,,816,26,200.0,-246214.36302213997,0.0,,,
168000,6101,0.981,820,27,200.0,-247456.319388,0.0,1645,736.7107421875,0.0001
168000,6100,,824,27,200.0,-247456.319388,0.0,,,
168000,6100,,828,27,200.0,-247456.319388,0.0,,,
168000,6099,,832,27,200.0,-247456.319388,0.0,,,
168000,6099,,836,27,200.0,-247456.319388,0.0,,,
168000,6098,,840,27,200.0,-247456.319388,0.0,,,
172800,6095,0.9804571428571429,844,28,200.0,-248171.79894645003,0.0,1695,751.5757934570313,0.0001
172800,6094,,848,28,200.0,-248171.79894645003,0.0,,,
172800,6094,,852,28,200.0,-248171.79894645003,0.0,,,
172800,6093,,856,28,200.0,-248171.79894645003,0.0,,,
172800,6093,,860,28,200.0,-248171.79894645003,0.0,,,
172800,6092,,864,28,200.0,-248171.79894645003,0.0,,,
177600,6092,0.9799142857142856,868,29,200.0,-249711.69057507,0.0,1745,716.8362182617187,0.0001
177600,6092,,872,29,200.0,-249711.69057507,0.0,,,
177600,6091,,876,29,200.0,-249711.69057507,0.0,,,
177600,6090,,880,29,200.0,-249711.69057507,0.0,,,
177600,6088,,884,29,200.0,-249711.69057507,0.0,,,
177600,6088,,888,29,200.0,-249711.69057507,0.0,,,
182400,6090,0.9793714285714286,892,29,200.0,-249005.47729977,0.0,1795,785.015234375,0.0001
182400,6089,,896,29,200.0,-249005.47729977,0.0,,,
182400,6089,,900,29,200.0,-249005.47729977,0.0,,,
